Customer ID,Recency,Frequency,Monetary
12346.0,67,15,-51.739999999999995
12347.0,3,2,1323.32
12348.0,74,1,222.16
12349.0,43,4,2646.99
12351.0,11,1,300.93
12352.0,11,2,343.8
12353.0,44,1,317.76
12355.0,203,1,488.21000000000004
12356.0,16,3,3560.3
12357.0,24,2,12079.99
12358.0,11,3,2719.01
12359.0,61,8,2469.36
12360.0,15,6,1550.83
12361.0,98,3,321.35
12362.0,374,1,130.0
12366.0,269,1,500.24
12368.0,264,1,917.6999999999999
12369.0,49,3,1791.15
12370.0,260,3,774.62
12371.0,45,3,2179.42
12373.0,260,2,763.0500000000001
12374.0,57,3,2246.29
12376.0,25,2,503.15
12377.0,17,2,1798.2
12378.0,198,1,1407.7
12379.0,58,2,767.98
12380.0,17,10,5167.44
12382.0,318,1,-18.38
12385.0,15,2,1923.4
12386.0,2,1,258.9
12387.0,51,1,143.94
12388.0,81,2,1120.45
12389.0,38,3,1433.33
12391.0,100,6,2259.58
12392.0,227,1,234.75000000000003
12393.0,18,3,794.15
12395.0,7,4,2048.64
12396.0,310,1,931.43
12399.0,21,3,853.65
12400.0,50,1,205.25
12402.0,28,6,1018.55
12403.0,157,1,591.6600000000001
12404.0,318,1,63.24
12406.0,24,4,2791.46
12408.0,15,5,1437.07
12409.0,56,6,12033.539999999999
12410.0,138,1,320.38
12411.0,45,1,346.9
12412.0,38,5,1354.15
12413.0,38,1,241.35
12414.0,99,5,130.0
12415.0,11,7,19543.84
12416.0,292,1,202.56
12417.0,37,15,3109.91
12418.0,49,4,1348.37
12419.0,21,2,503.01
12421.0,51,3,286.56
12422.0,30,18,3315.79
12423.0,23,2,763.08
12424.0,58,5,1528.82
12425.0,66,2,903.61
12426.0,282,2,728.6800000000001
12427.0,7,1,303.5
12429.0,1,6,3685.11
12431.0,9,16,4303.02
12433.0,2,6,7052.99
12434.0,17,1,297.29
12435.0,32,4,6096.04
12437.0,29,28,7498.19
12439.0,318,3,1089.18
12440.0,93,3,768.15
12441.0,2,1,173.55
12443.0,368,1,485.31
12445.0,36,2,293.08000000000004
12449.0,46,2,768.6
12450.0,35,5,469.07
12451.0,99,4,3613.0099999999998
12454.0,31,7,4292.71
12455.0,81,4,3413.09
12457.0,53,2,554.53
12458.0,63,2,830.09
12459.0,241,1,454.36
12460.0,92,1,326.65
12466.0,318,1,56.73
12467.0,22,2,0.0
12468.0,66,7,2900.5099999999998
12469.0,158,2,3070.54
12470.0,325,1,211.95
12471.0,8,81,19197.49
12472.0,5,26,10727.21
12474.0,4,25,4849.98
12475.0,45,1,426.26
12476.0,10,18,7137.54
12477.0,35,3,7056.63
12480.0,35,4,2153.4700000000003
12481.0,1,8,6626.17
12482.0,85,32,21893.53
12483.0,14,14,2496.34
12484.0,113,8,1806.93
12485.0,165,1,708.1
12486.0,67,1,1037.28
12487.0,366,2,259.79999999999995
12490.0,14,12,4400.71
12492.0,39,1,452.0
12494.0,1,5,604.17
12495.0,270,2,323.4
12496.0,256,2,45.34
12497.0,36,3,5168.650000000001
12499.0,196,1,393.72
12500.0,71,12,1666.04
12503.0,220,1,1126.0
12504.0,53,2,297.0
12505.0,29,2,912.5
12507.0,220,1,539.25
12510.0,95,14,2706.76
12511.0,50,2,3065.77
12514.0,277,1,580.08
12516.0,66,2,1336.56
12519.0,100,2,354.35
12523.0,10,17,2455.48
12524.0,24,10,6605.64
12525.0,127,8,835.1800000000001
12527.0,130,2,386.8
12529.0,158,2,311.78000000000003
12530.0,45,7,2066.23
12531.0,316,2,1773.83
12533.0,254,6,1149.99
12537.0,44,1,732.94
12538.0,14,1,276.5
12539.0,86,3,5646.400000000001
12540.0,14,17,8798.25
12542.0,120,4,423.38
12543.0,84,1,980.25
12547.0,136,1,175.78
12549.0,211,6,1575.68
12553.0,21,3,896.57
12554.0,84,1,468.5
12555.0,318,1,129.23
12557.0,7,4,6725.18
12562.0,21,2,1185.18
12563.0,44,1,249.24
12567.0,3,8,4278.88
12568.0,280,1,70.0
12570.0,318,1,77.52
12573.0,17,4,556.87
12575.0,93,2,622.8199999999999
12576.0,28,5,776.89
