Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster,DBSCAN_Cluster,Persona
12347.0,3,2,1323.32,5,2,4,524,Potential Loyalists,1,0,Loyal Customers
12348.0,74,1,222.16,2,1,1,211,Lost Customers,1,0,Loyal Customers
12349.0,43,4,2646.99,3,3,5,335,Lost Customers,1,0,Loyal Customers
12351.0,11,1,300.93,5,1,2,512,New Customers,1,0,Loyal Customers
12352.0,11,2,343.8,5,2,2,522,Potential Loyalists,1,0,Loyal Customers
12353.0,44,1,317.76,3,1,2,312,Promising Customers,1,0,Loyal Customers
12355.0,203,1,488.21,1,1,2,112,Lost Customers,0,0,VIP Customers
12356.0,16,3,3560.3,4,3,5,435,Potential Loyalists,1,0,Loyal Customers
12357.0,24,2,12079.99,4,2,5,425,Potential Loyalists,1,0,Loyal Customers
12358.0,11,3,2719.01,5,3,5,535,Potential Loyalists,1,0,Loyal Customers
12359.0,61,8,2469.36,3,5,5,355,Loyal Customers,1,0,Loyal Customers
12360.0,15,6,1550.83,4,4,4,444,Champions,1,0,Loyal Customers
12361.0,98,3,321.35,2,3,2,232,At Risk,1,0,Loyal Customers
12362.0,374,1,130.0,1,1,1,111,Lost Customers,0,0,VIP Customers
12366.0,269,1,500.24,1,1,3,113,Lost Customers,0,0,VIP Customers
12368.0,264,1,917.7,1,1,3,113,Lost Customers,0,0,VIP Customers
12369.0,49,3,1791.15,3,3,4,334,Lost Customers,1,0,Loyal Customers
12370.0,260,3,774.62,1,3,3,133,At Risk,0,0,VIP Customers
12371.0,45,3,2179.42,3,3,5,335,Lost Customers,1,0,Loyal Customers
12373.0,260,2,763.0500000000001,1,2,3,123,Lost Customers,0,0,VIP Customers
12374.0,57,3,2246.29,3,3,5,335,Lost Customers,1,0,Loyal Customers
12376.0,25,2,503.15,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12377.0,17,2,1798.2,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12378.0,198,1,1407.7,1,1,4,114,Cannot Lose Them,0,0,VIP Customers
12379.0,58,2,767.98,3,2,3,323,Promising Customers,1,0,Loyal Customers
12380.0,17,10,5167.44,4,5,5,455,Champions,1,0,Loyal Customers
12385.0,15,2,1923.4,4,2,4,424,Potential Loyalists,1,0,Loyal Customers
12386.0,2,1,258.9,5,1,2,512,New Customers,1,0,Loyal Customers
12387.0,51,1,143.94,3,1,1,311,Promising Customers,1,0,Loyal Customers
12388.0,81,2,1120.45,2,2,4,224,Cannot Lose Them,1,0,Loyal Customers
12389.0,38,3,1433.33,3,3,4,334,Lost Customers,1,0,Loyal Customers
12391.0,100,6,2259.58,2,4,5,245,At Risk,1,0,Loyal Customers
12392.0,227,1,234.75000000000003,1,1,1,111,Lost Customers,0,0,VIP Customers
12393.0,18,3,794.15,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
12395.0,7,4,2048.64,5,3,4,534,Potential Loyalists,1,0,Loyal Customers
12396.0,310,1,931.43,1,1,3,113,Lost Customers,0,0,VIP Customers
12399.0,21,3,853.65,4,3,3,433,Potential Loyalists,1,0,Loyal Customers
12400.0,50,1,205.25,3,1,1,311,Promising Customers,1,0,Loyal Customers
12402.0,28,6,1018.55,4,4,4,444,Champions,1,0,Loyal Customers
12403.0,157,1,591.6600000000001,2,1,3,213,Lost Customers,0,0,VIP Customers
12404.0,318,1,63.24,1,1,1,111,Lost Customers,0,0,VIP Customers
12406.0,24,4,2791.46,4,3,5,435,Potential Loyalists,1,0,Loyal Customers
12408.0,15,5,1437.07,4,4,4,444,Champions,1,0,Loyal Customers
12409.0,56,6,12033.54,3,4,5,345,Loyal Customers,1,0,Loyal Customers
12410.0,138,1,320.38,2,1,2,212,Lost Customers,0,0,VIP Customers
12411.0,45,1,346.9,3,1,2,312,Promising Customers,1,0,Loyal Customers
12412.0,38,5,1354.15,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12413.0,38,1,241.35,3,1,1,311,Promising Customers,1,0,Loyal Customers
12414.0,99,5,130.0,2,4,1,241,At Risk,1,0,Loyal Customers
12415.0,11,7,19543.84,5,4,5,545,Champions,1,0,Loyal Customers
12416.0,292,1,202.56,1,1,1,111,Lost Customers,0,0,VIP Customers
12417.0,37,15,3109.91,3,5,5,355,Loyal Customers,1,0,Loyal Customers
12418.0,49,4,1348.37,3,3,4,334,Lost Customers,1,0,Loyal Customers
12419.0,21,2,503.01,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12421.0,51,3,286.56,3,3,2,332,Lost Customers,1,0,Loyal Customers
12422.0,30,18,3315.79,4,5,5,455,Champions,1,0,Loyal Customers
12423.0,23,2,763.08,4,2,3,423,Potential Loyalists,1,0,Loyal Customers
12424.0,58,5,1528.82,3,4,4,344,Loyal Customers,1,0,Loyal Customers
12425.0,66,2,903.61,3,2,3,323,Promising Customers,1,0,Loyal Customers
12426.0,282,2,728.6800000000001,1,2,3,123,Lost Customers,0,0,VIP Customers
12427.0,7,1,303.5,5,1,2,512,New Customers,1,0,Loyal Customers
12429.0,1,6,3685.11,5,4,5,545,Champions,1,0,Loyal Customers
12431.0,9,16,4303.02,5,5,5,555,Champions,1,0,Loyal Customers
